dominio;codigo;descricao
dm_CBOSmonitor;225105;Médico acupunturista
dm_CBOSmonitor;225106;Médico legista
dm_CBOSmonitor;225109;Médico Nefrologista
dm_CBOSmonitor;225110;Médico alergista e imunologista
dm_CBOSmonitor;225112;Médico neurologista
dm_CBOSmonitor;225115;Médico angiologista
dm_CBOSmonitor;225118;Médico nutrologista
dm_CBOSmonitor;225120;Médico cardiologista
dm_CBOSmonitor;225121;Médico oncologista
dm_CBOSmonitor;225121;Médico oncologista
dm_CBOSmonitor;225122;Médico cancerologista pediátrico
dm_CBOSmonitor;225124;Médico pediatra
dm_CBOSmonitor;225125;Médico clínico
dm_CBOSmonitor;225127;Médico pneumologista
dm_CBOSmonitor;225130;Médico de família e comunidade
dm_CBOSmonitor;225133;Médico psiquiatra
dm_CBOSmonitor;225135;Médico dermatologista
dm_CBOSmonitor;225136;Médico reumatologista
dm_CBOSmonitor;225139;Médico sanitarista
dm_CBOSmonitor;225140;Médico do trabalho
dm_CBOSmonitor;225142;Médico da estratégia de saúde da família
dm_CBOSmonitor;225145;Médico em medicina de tráfego
dm_CBOSmonitor;225148;Médico anatomopatologista
dm_CBOSmonitor;225150;Médico em medicina intensiva
dm_CBOSmonitor;225151;Médico anestesiologista
dm_CBOSmonitor;225154;Médico antroposófico
dm_CBOSmonitor;225155;Médico endocrinologista e metabologista
dm_CBOSmonitor;225160;Médico fisiatra
dm_CBOSmonitor;225165;Médico gastroenterologista
dm_CBOSmonitor;225170;Médico generalista
dm_CBOSmonitor;225175;Médico geneticista
dm_CBOSmonitor;225180;Médico geriatra
dm_CBOSmonitor;225185;Médico Hematologista
dm_CBOSmonitor;225190;Médico Hemoterapeuta
dm_CBOSmonitor;225195;Médico Homeopata
dm_CBOSmonitor;225203;Médico em cirurgia vascular
dm_CBOSmonitor;225210;Médico cirurgião cardiovascular
dm_CBOSmonitor;225215;Médico cirurgião de cabeça e pescoço
dm_CBOSmonitor;225220;Médico cirurgião do aparelho digestivo
dm_CBOSmonitor;225225;Médico cirurgião geral
dm_CBOSmonitor;225230;Médico cirurgião pediátrico
dm_CBOSmonitor;225235;Médico cirurgião plástico
dm_CBOSmonitor;225240;Médico cirurgião torácico
dm_CBOSmonitor;225245;Médico foniatra
dm_CBOSmonitor;225250;Médico ginecologista e obstetra
dm_CBOSmonitor;225255;Médico Mastologista
dm_CBOSmonitor;225260;Médico neurocirurgião
dm_CBOSmonitor;225265;Médico oftalmologista
dm_CBOSmonitor;225270;Médico ortopedista e traumatologista
dm_CBOSmonitor;225275;Médico otorrinolaringologista
dm_CBOSmonitor;225280;Médico proctologista
dm_CBOSmonitor;225285;Médico urologista
dm_CBOSmonitor;225290;Médico cancerologista cirúrgico
dm_CBOSmonitor;225295;Médico cirurgião da mão
dm_CBOSmonitor;225305;Médico citopatologista
dm_CBOSmonitor;225310;Médico em endoscopia
dm_CBOSmonitor;225315;Médico em medicina nuclear
dm_CBOSmonitor;225320;Médico em radiologia e diagnóstico por imagem
dm_CBOSmonitor;225325;Médico patologista clínico
dm_CBOSmonitor;225325;Médico patologista clínico
dm_CBOSmonitor;225330;Médico radioterapeuta
dm_CBOSmonitor;225335;Médico patologista clínico / medicina laboratorial
