codigo_tuss;codigo_cbhpm;descricao;porte;custo_operacional_uco;pagina_publicacao
30805180;3.08.05.18-0;Biópsia de tumor do mediastino por vídeo;7A;33,800;83
30805198;3.08.05.19-8;Cisto ou duplicação brônquica ou esofágica - tratamento cirúrgico por vídeo;12B;42,900;83
30805201;3.08.05.20-1;Ligadura de artérias brônquicas para controle de hemoptise por vídeo;11B;38,500;83
30805210;3.08.05.21-0;Ligadura de ducto-torácico por vídeo;12A;42,900;83
30805228;3.08.05.22-8;Linfadenectomia mediastinal por vídeo;11B;38,500;83
30805236;3.08.05.23-6;Mediastinoscopia, via cervical por vídeo;10A;38,500;83
30805244;3.08.05.24-4;Mediastinotomia extrapleural por via posterior por vídeo;10C;38,500;83
30805252;3.08.05.25-2;Pericardiotomia com abertura pleuro- pericárdica por vídeo;11C;38,500;83
30805260;3.08.05.26-0;Ressecção de tumor de mediastino por vídeo;12C;42,900;83
30805279;3.08.05.27-9;Timectomia por vídeo;12B;42,900;83
30805287;3.08.05.28-7;Tratamento da mediastinite por vídeo;13A;42,900;83
30805295;3.08.05.29-5;Retirada de corpo estranho do mediastino;9B;;83
30806011;3.08.06.01-1;Abscesso subfrênico - tratamento cirúrgico;8B;;83
30806020;3.08.06.02-0;Eventração diafragmática - tratamento cirúrgico;11A;;83
30806038;3.08.06.03-8;Hérnia diafragmática - tratamento cirúrgico (qualquer técnica);12A;;83
30806046;3.08.06.04-6;Implante de marca-passo diafragmático definitivo;10B;;83
30806054;3.08.06.05-4;Hérnia diafragmática – tratamento cirúrgico por vídeo;13A;42,900;83
30900000;3.09.00.00-0;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. DEFEITOS CARDÍACOS CONGÊNIT;11C;;84
30901022;3.09.01.02-2;Canal arterial persistente - correção cirúrgica;10B;;84
30901030;3.09.01.03-0;Coarctação da aorta - correção cirúrgica;10C;;84
30901049;3.09.01.04-9;Confecção de bandagem da artéria pulmonar;10C;;84
30901057;3.09.01.05-7;Correção cirúrgica da comunicação interatrial;11B;;84
30901065;3.09.01.06-5;Correção cirúrgica da comunicação interventricular;11C;;84
30901073;3.09.01.07-3;Correção de cardiopatia congênita + cirurgia valvar;13B;;84
30901081;3.09.01.08-1;Correção de cardiopatia congênita + revascularização do miocárdio;13C;;84
30901090;3.09.01.09-0;Redirecionamento do fluxo sanguíneo (com anastomose direta, retalho, tubo);14A;;84
30901103;3.09.01.10-3;Ressecção (infundíbulo, septo, membranas, bandas);11B;;84
30901111;3.09.01.11-1;Transposições (vasos, câmaras);14B;;84
30902010;3.09.02.01-0;Ampliação do anel valvar;13C;;84
30902029;3.09.02.02-9;Cirurgia multivalvar;14A;;84
30902037;3.09.02.03-7;Comissurotomia valvar;13A;;84
30902045;3.09.02.04-5;Plastia valvar;13C;;84
30902053;3.09.02.05-3;Troca valvar;13B;;84
30903017;3.09.03.01-7;Aneurismectomia de VE;13C;;84
30903025;3.09.03.02-5;Revascularização do miocárdio;13C;;84
30903033;3.09.03.03-3;Revascularização do miocárdio + cirurgia valvar;14A;;84
30903041;3.09.03.04-1;Ventriculectomia parcial;13C;;84
30904013;3.09.04.01-3;Cárdio-estimulação transesofágica (CETE), terapêutica ou diagnóstica;2C;;84
30904021;3.09.04.02-1;Implante de desfibrilador interno, placas e eletrodos;12A;;84
30904064;3.09.04.06-4;Implante de estimulador cardíaco artificial multissítio;12A;;84
30904080;3.09.04.08-0;Instalação de marca-passo epimiocárdio temporário;6A;;84
30904099;3.09.04.09-9;Implante de marca-passo temporário à beira do leito;5C;;84
30904102;3.09.04.10-2;Recolocação de eletrodo / gerador com ou sem troca de unidades;8C;;84
30904110;3.09.04.11-0;Retirada do sistema (não aplicável na troca do gerador);8A;;84
30904129;3.09.04.12-9;Troca de gerador;6A;;84
30904137;3.09.04.13-7;Implante de marca-passo monocameral (gerador + eletrodo atrial ou ventricular);8C;;84
30904145;3.09.04.14-5;Implante de marca-passo bicameral (gerador + eletrodo atrial e ventricular);10B;;84
30905010;3.09.05.01-0;Colocação de balão intra-aórtico;5A;;85
30905028;3.09.05.02-8;Colocação de stent na aorta sem CEC;10A;;85
30905036;3.09.05.03-6;Instalação do circuíto de circulação extracorpórea convencional;8A;;85
30905044;3.09.05.04-4;Instalação do circuíto de circulação extracorpórea em crianças de baixo peso (10 kg);8A;;85
30905052;3.09.05.05-2;Derivação cavo-atrial;11A;;85
30905060;3.09.05.06-0;Perfusionista;8A;;85
30906016;3.09.06.01-6;Aneurisma de aorta abdominal infra-renal;11B;;85
30906024;3.09.06.02-4;Aneurisma de aorta abdominal supra-renal;11C;;85
30906032;3.09.06.03-2;Aneurisma de aorta-torácica - correção cirúrgica;13C;;85
30906040;3.09.06.04-0;Aneurisma de artérias viscerais;9C;;85
30906059;3.09.06.05-9;Aneurisma de axilar, femoral, poplítea;11A;;85
30906067;3.09.06.06-7;Aneurisma de carótida, subclávia, ilíaca;11A;;85
30906075;3.09.06.07-5;Aneurismas - outros;11A;;85
30906083;3.09.06.08-3;Aneurismas torácicos ou tóraco-abdominais - correção cirúrgica;14A;;85
30906113;3.09.06.11-3;Angioplastia transluminal transoperatória - por artéria;7C;;85
30906121;3.09.06.12-1;Artéria hipogástrica - unilateral - qualquer técnica;10B;;85
30906130;3.09.06.13-0;Artéria mesentérica inferior - qualquer técnica;9C;;85
30906148;3.09.06.14-8;Artéria mesentérica superior - qualquer técnica;11C;;85
30906156;3.09.06.15-6;Artéria renal bilateral revascularização;11B;;85
30906164;3.09.06.16-4;Cateterismo da artéria radial - para PAM;2C;;85
30906172;3.09.06.17-2;Correção das dissecções da aorta;14A;;85
30906180;3.09.06.18-0;Endarterectomia aorto-ilíaca;9A;;85
30906199;3.09.06.19-9;Endarterectomia carotídea - cada segmento arterial tratado;11B;;85
30906202;3.09.06.20-2;Endarterectomia ilíaco-femoral;8B;;85
30906210;3.09.06.21-0;Ligadura de carótida ou ramos;8B;;85
30906229;3.09.06.22-9;Ponte aorto-bifemoral;11C;;85
30906237;3.09.06.23-7;Ponte aorto-biilíaca;11B;;85
30906245;3.09.06.24-5;Ponte aorto-femoral - unilateral;10A;;85
30906253;3.09.06.25-3;Ponte aorto-ilíaca - unilateral;9C;;85
30906261;3.09.06.26-1;Ponte axilo-bifemoral;9C;;85
30906270;3.09.06.27-0;Ponte axilo-femoral;9C;;85
30906288;3.09.06.28-8;Ponte distal;11B;;85
30906296;3.09.06.29-6;Ponte fêmoro poplítea proximal;9C;;85
30906300;3.09.06.30-0;Ponte fêmoro-femoral cruzada;9C;;85
30906318;3.09.06.31-8;Ponte fêmoro-femoral ipsilateral;9C;;85
30906334;3.09.06.33-4;Ponte subclávio femoral;10A;;86
30906342;3.09.06.34-2;Pontes aorto-cervicais ou endarterectomias dos troncos supra-aórticos;12A;;86
30906350;3.09.06.35-0;Pontes transcervicais - qualquer tipo;10C;;86
30906377;3.09.06.37-7;Preparo de veia autóloga para remendos vasculares;3C;;86
30906385;3.09.06.38-5;Arterioplastia da femoral profunda (profundoplastia);8A;;85
30906393;3.09.06.39-3;Reoperação de aorta abdominal;11C;;86
30906407;3.09.06.40-7;Retirada de enxerto infectado em posição não aórtica;11A;;86
30906415;3.09.06.41-5;Revascularização aorto-femoral-unilateral;10A;;86
30906423;3.09.06.42-3;Revascularização arterial de membro superior;10C;;86
30906431;3.09.06.43-1;Tratamento cirúrgico da isquemia cerebral;12C;;86
30906440;3.09.06.44-0;Tratamento cirúrgico de síndrome vértebro basilar;11A;;86
30906458;3.09.06.45-8;Tratamento cirúrgico de tumor carotídeo;10C;;86
30906466;3.09.06.46-6;Tronco celíaco - qualquer técnica;11C;;86
30907012;3.09.07.01-2;Cirurgia de restauração venosa com pontes em cavidades ..11B - 3 5 3.09.07.02-0 Cirurgia d;11B;;86
30907039;3.09.07.03-9;Cura cirúrgica da impotência coeundi venosa;10A;;86
30907047;3.09.07.04-7;Cura cirúrgica de hipertensão portal - qualquer tipo;11B;;86
30907063;3.09.07.06-3;Escleroterapia de veias - por sessão - sem insumos;2A;;86
30907071;3.09.07.07-1;Fulguração de telangiectasias (por grupo);1B;;86
30907080;3.09.07.08-0;Implante de filtro de veia cava;8B;;86
30907098;3.09.07.09-8;Interrupção cirúrgica veia cava inferior;7C;;86
30907101;3.09.07.10-1;Tratamento cirúrgico de varizes com lipodermatoesclerose ou úlcera (um membro);10A;;86
30907110;3.09.07.11-0;Trombectomia venosa;11B;;86
30907128;3.09.07.12-8;Valvuloplastia ou interposição de segmento valvulado venoso;11B;;86
30907136;3.09.07.13-6;Varizes - tratamento cirúrgico de dois membros;10A;;86
30907144;3.09.07.14-4;Varizes - tratamento cirúrgico de um membro;7C;;86
30907152;3.09.07.15-2;Varizes - ressecção de colaterais com anestesia local em consultório / ambulatório (por gr;4A;;86
30908019;3.09.08.01-9;Fístula aorto-cava, reno-cava ou ílio-ilíaca;11B;;87
30908027;3.09.08.02-7;Fístula arteriovenosa - com enxerto;8C;;87
30908035;3.09.08.03-5;Fístula arteriovenosa cervical ou cefálica extracraniana;11A;;87
30908043;3.09.08.04-3;Fístula arteriovenosa congênita - reintervenção;8A;;87
30908051;3.09.08.05-1;Fístula arteriovenosa congênita - cirurgia radical;11A;;87
30908060;3.09.08.06-0;Fístula arteriovenosa congênita para redução de fluxo;9C;;87
30908078;3.09.08.07-8;Fístula arteriovenosa direta;4C;;87
30908086;3.09.08.08-6;Fístula arteriovenosa dos grandes vasos intratorácicos;11B;;87
30908094;3.09.08.09-4;Fístula arteriovenosa dos membros;9C;;87
30908108;3.09.08.10-8;Tromboembolectomia de fístula arteriovenosa;5A;;87
30909023;3.09.09.02-3;Hemodiálise contínua (12h);4B;;87
30909031;3.09.09.03-1;Hemodiálise crônica (por sessão);3C;14,000;87
30909139;3.09.09.13-9;Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada;4B;14,000;87
30909147;3.09.09.14-7;Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada;5B;18,000;87
30909996;3.09.09.99-6;Observação: - Referência código: 3.09.09.03-1 O custo operacional inclui o uso do equipame;11C;;87
30910021;3.09.10.02-1;Aneurismas rotos ou trombosados - outros;10B;;87
30910030;3.09.10.03-0;Aneurismas rotos ou trombosados de aorta abdominal acima da artéria renal;12B;;87
30910048;3.09.10.04-8;Aneurismas rotos ou trombosados de artérias viscerais;10B;;87
30910056;3.09.10.05-6;Aneurismas rotos ou trombosados de axilar, femoral, poplítea;10B;;87
30910072;3.09.10.07-2;Aneurismas rotos ou trombosados torácicos ou tóraco-abdominais;14A;;88
30910080;3.09.10.08-0;Embolectomia ou trombo - embolectomia arterial;9C;;88
30910099;3.09.10.09-9;Exploração vascular em traumas de outros segmentos;9C;;88
30910102;3.09.10.10-2;Exploração vascular em traumas torácicos e abdominais;11B;;88
30910110;3.09.10.11-0;Lesões vasculares cervicais e cérvico torácicas;11C;;88
30910129;3.09.10.12-9;Lesões vasculares de membro inferior ou superior-unilateral;9C;;88
30910137;3.09.10.13-7;Lesões vasculares intra-abdominais;11B;;88
30910145;3.09.10.14-5;Lesões vasculares traumáticas intratorácicas;11C;;88
30911010;3.09.11.01-0;Avaliação da viabilidade miocárdica por cateter;5A;;88
30911028;3.09.11.02-8;Avaliação fisiológica da gravidade de obstruções (cateter ou guia);5A;;88
30911036;3.09.11.03-6;Biópsia endomiocárdica;5B;;88
30911044;3.09.11.04-4;Cateterismo cardíaco D e/ou E com ou sem cinecoronariografia / cineangiografia com avaliaç;7C;;88
30911052;3.09.11.05-2;Cateterismo cardíaco D e/ou E com estudo cineangiográfico e de revascularização cirúrgica;8C;;88
30911060;3.09.11.06-0;Cateterismo cardíaco direito com estudo angiográfico da artéria pulmonar;5A;;88
30911079;3.09.11.07-9;Cateterismo cardíaco E e/ou D com cineangiocoronariografia e ventriculografia;7C;;88
30911087;3.09.11.08-7;Cateterismo cardíaco E e/ou D com cineangiocoronariografia, ventriculografia e estudo angi;8A;;88
30911095;3.09.11.09-5;Cateterismo e estudo cineangiográfico da aorta e/ou seus ramos;5A;;88
30911109;3.09.11.10-9;Cateterização cardíaca E por via transeptal;5A;;88
30911117;3.09.11.11-7;Estudo eletrofisiológico - mapeamento eletro-eletrônico tridimensional - do sistema de con;7C;;88
30911125;3.09.11.12-5;Estudo hemodinâmico das cardiopatias congênitas estruturalmente complexas (menos: CIA, CIV;7C;;88
30911133;3.09.11.13-3;Estudo hemodinâmico de cardiopatias congênitas e/ou valvopatias com ou sem cinecoronariogr;7B;;89
30911141;3.09.11.14-1;Estudo ultra-sonográfico intravascular;7C;;89
30911150;3.09.11.15-0;Mapeamento de feixes anômalos e focos ectópicos por eletrofisiologia intracavitária, com p;9C;;89
30911168;3.09.11.16-8;Teste de avaliação do limiar de fibrilação ventricular;5B;;89
30911990;3.09.11.99-0;e 3.09.12.99-7 - OBSERVAÇÕES: 1) Ref. Códigos 3.09.11.00-1 e 3.09.12.00-8 - As valorações;5A;;90
30912016;3.09.12.01-6;Ablação de circuito arritmogênico por cateter de radiofreqüência;11C;;89
30912024;3.09.12.02-4;Angioplastia transluminal da aorta ou ramos ou da artéria pulmonar e ramos (por vaso);8C;;89
30912032;3.09.12.03-2;Angioplastia transluminal percutânea de múltiplos vasos, com implante de stent;12A;;89
30912040;3.09.12.04-0;Angioplastia transluminal percutânea por balão (1 vaso);8C;;89
30912059;3.09.12.05-9;Atriosseptostomia por balão;5A;;89
30912067;3.09.12.06-7;Atriosseptostomia por lâmina;10B;;89
30912075;3.09.12.07-5;Emboloterapia;10B;;89
30912083;3.09.12.08-3;Colocação de cateter intracavitário para monitorização hemodinâmica;5A;;89
30912091;3.09.12.09-1;Implante de prótese intravascular na aorta/pulmonar ou ramos com ou sem angioplastia;10C;;89
30912105;3.09.12.10-5;Implante de stent coronário com ou sem angioplastia por balão concomitante (1 vaso);10C;;89
30912113;3.09.12.11-3;Infusão seletiva intravascular de enzimas trombolíticas;8C;;89
30912121;3.09.12.12-1;Oclusão percutânea de “shunts” intracardíacos;11B;;89
30912130;3.09.12.13-0;Oclusão percutânea de fístula e/ou conexões sistêmico pulmonares;10B;;89
30912148;3.09.12.14-8;Oclusão percutânea do canal arterial;10B;;89
30912156;3.09.12.15-6;Punção saco pericárdico com introdução de cateter multipolar no espaço pericárdico;5A;;89
30912164;3.09.12.16-4;Punção transeptal com introdução de cateter multipolar nas camaras esquerdas e/ou veias pu;5B;;89
30912172;3.09.12.17-2;Radiação ou antiproliferação intracoronária;10C;;89
30912180;3.09.12.18-0;Recanalização arterial no IAM - angioplastia primária - com implante de stent com ou sem s;12C;;89
30912202;3.09.12.20-2;Redução miocárdica por infusão seletiva de drogas;10C;;90
30912210;3.09.12.21-0;Retirada percutânea de corpos estranhos vasculares;7C;;90
30912229;3.09.12.22-9;Revascularização transmiocárdica percutânea;10C;;90
30912237;3.09.12.23-7;Tratamento percutâneo do aneurisma/dissecção da aorta;10C;;90
30912245;3.09.12.24-5;Valvoplastia percutânea por via arterial ou venosa;8C;;90
30912253;3.09.12.25-3;Valvoplastia percutânea por via transeptal;10C;;90
30912261;3.09.12.26-1;Angioplastia transluminal percutânea de bifurcação e de tronco com implante de stent;12B;;89
30912270;3.09.12.27-0;Ateromectomia rotacional, direcional, extracional ou uso de laser coronariano com ou sem a;12B;;89
30913012;3.09.13.01-2;Implante de cateter venoso central por punção, para NPP, QT, Hemodepuração ou para infusão;4B;;90
30913020;3.09.13.02-0;Instalação de cateter para monitorização hemodinâmica à beira do leito (Suan-Ganz);2C;;90
30913047;3.09.13.04-7;Instalação de circuito para assistência mecânica circulatória prolongada (toracotomia);10A;;90
30913055;3.09.13.05-5;Manutenção de circuito para assistência mecânica circulatória prolongada - período de 6 ho;5A;;90
30913071;3.09.13.07-1;Dissecção de vaso umbilical com colocação de cateter;2C;;90
30913080;3.09.13.08-0;Dissecção de veia em RN ou lactente;3C;;90
30913098;3.09.13.09-8;Dissecção de veia com colocação cateter venoso;3A;;90
30913101;3.09.13.10-1;Implante cirúrgico de cateter de longa permanência para NPP, QT ou para Hemodepuração;4B;;90
30913128;3.09.13.12-8;Retirada cirúrgica de cateter de longa permanência para NPP, QT ou para Hemodepuração;4B;;90
30913152;3.09.13.15-2;Retirada/desativação de fístula AV para hemodiálise;5A;;90
30914019;3.09.14.01-9;Anastomose linfovenosa;9C;;90
30914027;3.09.14.02-7;Doenca de Hodgkin - estadiamento cirúrgico;8B;;90
30914043;3.09.14.04-3;Linfadenectomia inguinal ou ilíaca;9B;;90
30914051;3.09.14.05-1;Linfadenectomia cervical;10C;;90
30914060;3.09.14.06-0;Linfadenectomia pélvica;10A;;91
30914078;3.09.14.07-8;Linfadenectomia retroperitoneal;10C;;91
30914086;3.09.14.08-6;Linfangioplastia;9C;;91
30914094;3.09.14.09-4;Linfedema - ressecção total;11A;;91
30914108;3.09.14.10-8;Linfedema genital - ressecção;8A;;91
30914116;3.09.14.11-6;Marsupialização de linfocele;8C;;91
30914124;3.09.14.12-4;Punção biópsia ganglionar;1B;;91
30914132;3.09.14.13-2;Linfedema - ressecção parcial;9C;;91
30914140;3.09.14.14-0;Linfadenectomia pélvica laparoscópica;11B;44,610;91
30914159;3.09.14.15-9;Linfadenectomia retroperitoneal laparoscópica;12B;66,910;91
30914167;3.09.14.16-7;Marsupialização laparoscópica de linfocele;10B;44,610;91
30915015;3.09.15.01-5;Correção cirúrgica das arritmias;10B;;91
30915023;3.09.15.02-3;Drenagem do pericárdio;6A;;91
30915031;3.09.15.03-1;Pericardiocentese;5A;;91
30915040;3.09.15.04-0;Pericardiotomia / Pericardiectomia;8C;;91
30915058;3.09.15.05-8;Drenagem do pericárdio por vídeo;7B;33,800;91
30915066;3.09.15.06-6;Pericardiotomia / Pericardiectomia por vídeo;10A;38,500;91
30916011;3.09.16.01-1;Hipotermia profunda com ou sem parada circulatória total;10A;;91
30917018;3.09.17.01-8;Biópsia do miocárdio;8A;;91
30917026;3.09.17.02-6;Cardiomioplastia;13C;;91
30917034;3.09.17.03-4;Cardiotomia (ferimento, corpo estranho, exploração);10B;;91
30917042;3.09.17.04-2;Retirada de tumores intracardíacos;13A;;91
31000002;3.10.00.00-2;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. ESÔFAGO (3.10.01.00-9) 3.10;12B;;92
31001025;3.10.01.02-5;Atresia de esôfago sem fístula (dupla estomia) - tratamento cirúrgico;10B;;92
31001033;3.10.01.03-3;Autotransplante com microcirurgia;12B;;92
31001041;3.10.01.04-1;Esofagectomia distal com toracotomia;10B;;92
31001050;3.10.01.05-0;Esofagectomia distal sem toracotomia;10B;;92
31001068;3.10.01.06-8;Esofagoplastia (coloplastia);12C;;92
31001076;3.10.01.07-6;Esofagoplastia (gastroplastia);12B;;92
31001084;3.10.01.08-4;Estenose de esôfago - tratamento cirúrgico via torácica;10B;;92
31001092;3.10.01.09-2;Faringo-laringo-esofagectomia total com ou sem toracotomia;12B;;92
31001106;3.10.01.10-6;Fístula tráqueo esofágica - tratamento cirúrgico via cervical;10A;;92
31001114;3.10.01.11-4;Fístula tráqueo esofágica - tratamento cirúrgico via torácica;10B;;92
31001149;3.10.01.14-9;Reintervenção sobre a transição esôfago gástrica;10A;;92
31001157;3.10.01.15-7;Ressecção do esôfago cervical e/ou torácico e transplante com microcirurgia;12B;;93
31001165;3.10.01.16-5;Substituição esofágica - cólon ou tubo gástrico;12C;;93
31001173;3.10.01.17-3;Tratamento cirúrgico das varizes esofágicas;9A;;93
31001181;3.10.01.18-1;Tratamento cirúrgico conservador do megaesofago;9B;;93
31001190;3.10.01.19-0;Tunelização esofágica;8B;;93
31001203;3.10.01.20-3;Esofagorrafia cervical;10A;;92
31001211;3.10.01.21-1;Esofagorrafia torácica;10A;;92
31001220;3.10.01.22-0;Esofagostomia;9B;;92
31001238;3.10.01.23-8;Tratamento cirúrgico do divertículo esofágico;10A;;93
31001246;3.10.01.24-6;Tratamento cirúrgico do divertículo faringoesofágico;10A;;93
31001254;3.10.01.25-4;Esofagectomia subtotal com linfadenectomia com ou sem toracotomia;12A;;92
31001262;3.10.01.26-2;Refluxo gastroesofágico - tratamento cirúrgico (Hérnia de hiato);9B;;92
31001270;3.10.01.27-0;Reconstrução do esôfago cervical e torácico com transplante segmentar de intestino;14A;;92
31001289;3.10.01.28-9;Reconstrução do esôfago cervical ou torácico, com transplante de intestino;14A;;92
31001297;3.10.01.29-7;Dissecção do esôfago torácico (qualquer técnica);10A;;92
31001300;3.10.01.30-0;Esofagectomia distal com ou sem toracotomia por videolaparoscopia;12A;81,100;92
31001319;3.10.01.31-9;Reintervenção sobre a transição esôfago gástrica por videolaparoscopia;11B;64,880;92
31001327;3.10.01.32-7;Tratamento cirúrgico das varizes esofágicas por;10B;50,770;93
31001335;3.10.01.33-5;Tratamento cirúrgico conservador do megaesofago por videolaparoscopia;11A;56,770;93
31001343;3.10.01.34-3;Esofagorrafia torácica por videotoracoscopia;11B;56,770;92
31001351;3.10.01.35-1;Tratamento cirúrgico do divertículo esofágico por videotoracoscopia;11B;56,770;93
31001360;3.10.01.36-0;Refluxo gastroesofágico - tratamento cirúrgico (Hérnia de hiato) por videolaparoscopia;10C;48,660;92
31002013;3.10.02.01-3;Colocação de banda gástrica;9B;;93
31002021;3.10.02.02-1;Conversão de anastomose gastrojejunal (qualquer técnica);9B;;93
31002030;3.10.02.03-0;Degastrogastrectomia com vagotomia;10B;;93
31002048;3.10.02.04-8;Degastrogastrectomia sem vagotomia;9A;;93
31002056;3.10.02.05-6;Gastrostomia confecção / fechamento;6A;;94
31002064;3.10.02.06-4;Gastrectomia parcial com linfadenectomia;10B;;93
31002072;3.10.02.07-2;Gastrectomia parcial com vagotomia;9A;;93
31002080;3.10.02.08-0;Gastrectomia parcial sem vagotomia;9A;;93
31002099;3.10.02.09-9;Gastrectomia polar superior com reconstrução jejunal com toracotomia;11A;;93
31002102;3.10.02.10-2;Gastrectomia polar superior com reconstrução jejunal sem toracotomia;10B;;93
31002110;3.10.02.11-0;Gastrectomia total com linfadenectomia;11A;;93
31002129;3.10.02.12-9;Gastrectomia total via abdominal;10B;;93
31002137;3.10.02.13-7;Gastroenteroanastomose;7C;;94
31002145;3.10.02.14-5;Gastrorrafia;6A;;94
31002153;3.10.02.15-3;Gastrotomia com sutura de varizes;10C;;94
31002161;3.10.02.16-1;Gastrotomia para retirada de CE ou lesão isolada;8A;;94
31002170;3.10.02.17-0;Gastrotomia para qualquer finalidade;6A;;94
31002188;3.10.02.18-8;Membrana antral - tratamento cirúrgico;8B;;94
31002196;3.10.02.19-6;Piloroplastia;7C;;94
31002218;3.10.02.21-8;Gastroplastia para obesidade mórbida - qualquer técnica;10C;;94
31002242;3.10.02.24-2;Tratamento cirúrgico das varizes gástricas;9C;;94
31002250;3.10.02.25-0;Vagotomia com operação de drenagem;8B;;94
31002269;3.10.02.26-9;Vagotomia gástrica proximal ou superseletiva com duodenoplastia (operação de drenagem);8B;;94
31002277;3.10.02.27-7;Vagotomia superseletiva ou vagotomia gástrica proximal;8B;;94
31002285;3.10.02.28-5;Colocação de banda gástrica por videolaparoscopia;10C;48,660;93
31002293;3.10.02.29-3;Conversão de anastomose gastrojejunal por videolaparoscopia;10C;48,660;93
31002307;3.10.02.30-7;Gastrectomia parcial com linfadenectomia por videolaparoscopia;12B;64,880;93
31002315;3.10.02.31-5;Gastrectomia parcial com vagotomia por videolaparoscopia;10B;48,660;93
31002323;3.10.02.32-3;Gastrectomia parcial sem vagotomia por videolaparoscopia;10B;48,660;93
31002331;3.10.02.33-1;Gastrectomia total com linfadenectomia por videolaparoscopia;12B;64,880;93
31002358;3.10.02.35-8;Gastroenteroanastomose por videolaparoscopia;9A;44,610;94
31002366;3.10.02.36-6;Gastrotomia para retirada de CE ou lesão isolada por videolaparoscopia;9B;44,610;94
31002374;3.10.02.37-4;Piloroplastia por videolaparoscopia;9B;44,610;94
31002390;3.10.02.39-0;Gastroplastia para obesidade mórbida por videolaparoscopia;12B;64,880;94
31002404;3.10.02.40-4;Vagotomia gástrica proximal ou superseletiva com duodenoplastia (operação de drenagem) por;10A;44,610;94
31002412;3.10.02.41-2;Vagotomia superseletiva ou vagotomia gástrica proximal por videolaparoscopia;10A;44,610;94
31003010;3.10.03.01-0;Amputação abdômino-perineal do reto (completa);10C;;94
31003028;3.10.03.02-8;Amputação do reto por procidência;7A;;94
31003036;3.10.03.03-6;Anomalia anorretal - correção via sagital posterior;10B;;94
31003044;3.10.03.04-4;Anomalia anorretal - tratamento cirúrgico via abdômino- perineal;10C;;94
31003052;3.10.03.05-2;Anomalia anorretal - tratamento cirúrgico via perineal;9C;;94
31003060;3.10.03.06-0;Anorretomiomectomia;9B;;94
31003079;3.10.03.07-9;Apendicectomia;8A;;94
31003087;3.10.03.08-7;Apple-Peel - tratamento cirúrgico;11B;;95
31003095;3.10.03.09-5;Atresia de cólon - tratamento cirúrgico;10A;;95
31003109;3.10.03.10-9;Atresia de duodeno - tratamento cirúrgico;11A;;95
31003117;3.10.03.11-7;Atresia jejunal distal ou ileal - tratamento cirúrgico;10A;;95
31003125;3.10.03.12-5;Atresia jejunal proximal - tratamento cirúrgico;11A;;95
31003133;3.10.03.13-3;Cirurgia de abaixamento (qualquer técnica);10C;;95
31003150;3.10.03.15-0;Cisto mesentérico - tratamento cirúrgico;8B;;95
31003168;3.10.03.16-8;Colectomia parcial com colostomia;10A;;95
31003176;3.10.03.17-6;Colectomia parcial sem colostomia;9C;;95
31003184;3.10.03.18-4;Colectomia total com íleo-reto-anastomose;10C;;95
31003192;3.10.03.19-2;Colectomia total com ileostomia;10B;;95
31003206;3.10.03.20-6;Colocação de sonda enteral;2B;;95
31003214;3.10.03.21-4;Colostomia ou enterostomia;8A;;95
31003230;3.10.03.23-0;Colotomia e colorrafia;8A;;95
31003249;3.10.03.24-9;Distorção de volvo por laparotomia;8A;;95
31003257;3.10.03.25-7;Distorção de volvo por via endoscópica;6A;17,400;95
31003265;3.10.03.26-5;Divertículo de Meckel - exérese;8B;;95
31003273;3.10.03.27-3;Duplicação do tubo digestivo - tratamento cirúrgico;8C;;95
31003281;3.10.03.28-1;Enterectomia segmentar;8B;;95
31003290;3.10.03.29-0;Entero-anastomose (qualquer segmento);8A;;95
31003303;3.10.03.30-3;Enterocolite necrotizante - tratamento cirúrgico;10A;;95
31003320;3.10.03.32-0;Enterotomia e/ou enterorrafia de qualquer segmento (por sutura ou ressecção);8A;;96
31003338;3.10.03.33-8;Esporão retal - ressecção;5B;;96
31003346;3.10.03.34-6;Esvaziamento pélvico anterior ou posterior;10A;;96
31003354;3.10.03.35-4;Esvaziamento pélvico total;10C;;96
31003362;3.10.03.36-2;Fecaloma - remoção manual;2B;;96
31003370;3.10.03.37-0;Fechamento de colostomia ou enterostomia;8C;;96
31003389;3.10.03.38-9;Fixação do reto por via abdominal;8A;;96
31003397;3.10.03.39-7;Íleo meconial - tratamento cirúrgico;10A;;96
31003427;3.10.03.42-7;Invaginação intestinal - ressecção;8B;;96
31003435;3.10.03.43-5;Invaginação intestinal sem ressecção - tratamento cirúrgico;8A;;96
31003451;3.10.03.45-1;Má-rotação intestinal - tratamento cirúrgico;10A;;96
31003460;3.10.03.46-0;Megacólon congênito - tratamento cirúrgico;10C;;96
31003478;3.10.03.47-8;Membrana duodenal - tratamento cirúrgico;11A;;96
31003486;3.10.03.48-6;Pâncreas anular - tratamento cirúrgico;11A;;96
31003494;3.10.03.49-4;Perfuração duodenal ou delgado - tratamento cirúrgico;8B;;96
31003508;3.10.03.50-8;Piloromiotomia;7C;;96
31003516;3.10.03.51-6;Procidência do reto - redução manual;2B;;96
31003524;3.10.03.52-4;Proctocolectomia total;12A;;96
